## IMINE2-J-001	cvs
オープンソース	241.53808900000004,
WWEに参戦したプロレスラー	26.12877,0.8607141993318709
サンフランシスコ・ジャイアンツの選手	24.271187,0.8585886353636782
ボストン・レッドソックスの選手	24.271187,0.8607141993318709
オークランド・アスレチックスの選手	24.271187,0.8607141993318709
フロリダ州を舞台としたテレビ番組	25.145248,0.8677416054473164
アメリカ合衆国のハードロック・バンド	23.833887,0.8789903763717422
アメリカ合衆国のヘヴィメタル・バンド	23.833887,0.8824075145747601
カンザスシティ・ロイヤルズ	23.42704,0.8872493534236396
イングランドのヘヴィメタル・ミュージシャン	25.744919,0.8988365309392146
日本テレビ土曜ドラマの主題歌	24.17872,0.9007938086741255
東山区の企業	23.69369,0.9078440725067516
神戸市中央区の企業	23.901806,0.9338358812371399
孤立	27.21794,1.0
## IMINE2-J-056	O脚 直し方
部首	145.239728,
存命人物	125.999476,0.0
学校	76.97207850000001,0.25127314814814816
法医学	14.211166,0.20654970720521582
方言	12.798731,0.20943265148785709
福祉用具	12.063556,0.21007716049382716
映画の一覧	12.798731,0.21941195894599536
1989年設立の航空会社	12.063556,0.23003921074817096
遭難	13.449691,0.2349894638784567
動物	12.063556,0.2384242291095107
塔	12.443062,0.24849698087241368
椅子	24.127112,0.277567426267373
キャンペーンガール	12.063556,0.2531073173547472
テレビ制作会社	12.063556,0.26226979060381345
寄生虫	12.063556,0.2632398657887675
スポーツ音楽	13.90076,0.27208714154195063
日本の文化	32.068304999999995,0.3111861054352105
人体のしくみ	14.211166,0.27998946138780134
核磁気共鳴画像法	16.015835,0.2878036222885683
スポーツウェア	12.063556,0.2831491624865197
解剖学	14.211166,0.2878680173488492
BDSM	12.443062,0.28935185185185186
1982年生	25.243237,0.3158705106802189
Vulnerable	12.676576,0.29026109388274635
登山	13.449691,0.2939115308411866
漢字	63.507383000000004,0.3993920318509773
試作機	12.676576,0.2998205351684079
1974年生	18.868925,0.3158705106802189
美	12.219503,0.30254585537918866
1994年没	14.845526,0.3098609244329542
1977年生	17.247227,0.3158705106802189
家具デザイナー	12.990873,0.31138470604664986
1913年生	14.845526,0.3158705106802189
1968年生	14.845526,0.3158705106802189
アウターウェア	12.063556,0.31044057642863004
代謝内分泌疾患	14.158085,0.3161308319282502
1946年生	12.990873,0.3158705106802189
1990年生	12.676576,0.3158705106802189
オーストリアの企業	12.775772,0.3166114521964312
1973年生	12.063556,0.3158705106802189
1975年生	12.063556,0.3158705106802189
数学に関する記事	13.036428,0.3205909863945578
初等幾何学	13.036428,0.3205987556766506
架空の建築物	14.551003,0.3320241786719301
1994年開業の施設	13.58401,0.330881783415023
座法	14.158085,0.3341049382716049
東京都出身の人物	14.845526,0.3369989819046382
レースクイーン	12.063556,0.3322731410079579
性的嗜好	12.219503,0.3392361111111111
第36回BCS賞	13.58401,0.34286268505717965
西洋館	12.063556,0.3420145743453095
ボトムス	12.063556,0.34208313529699635
デンマークの言語	12.798731,0.3439634614337939
ヨーロッパの都市伝説	12.063556,0.34317091707899633
神祭具	12.063556,0.34532258949937183
履物	17.91022,0.3586616999591225
フリーアナウンサー	36.116152,0.3978731738385439
日本の外来種	12.063556,0.35038040011824134
遺伝子	13.415082,0.3554004218374914
転写因子	13.415082,0.359664235003467
マクロ解剖学	29.494549999999997,0.3954119052217037
フェティシズム	12.443062,0.3633101851851852
スポーツアナウンサー	12.063556,0.36299928355222677
節足動物	12.063556,0.3665181862997256
野球に関する記事	14.845526,0.375
紀元前663年没	12.063556,0.3732870551427911
ロボット	12.063556,0.3781258644128001
英語の姓	13.415082,0.3827376383947283
1994年竣工の建築物	13.58401,0.3852039646209158
日本の民家	12.063556,0.38349250826581444
2004年のコンピュータゲーム	17.540077,0.3966291815525592
ガラス工芸	12.775772,0.38734856463777056
動物	62.410011999999995,0.4915364583333333
大阪車輌工業製の鉄道車両	12.295256,0.3902663253584946
四神	12.676576,0.39154613555837986
三角法	13.036428,0.3930460275565821
日本神話の人物	12.063556,0.39148742017945937
ローカルタレント	26.742214,0.4247639127782778
歩行	12.295256,0.39590051892813594
器官	12.295256,0.3966872574688727
人体の部位	29.494549999999997,0.4323565489969135
地上デジタル放送推進大使	12.063556,0.4008982961141118
日本の俳優	13.179681,0.40347048075274344
姿勢	14.158085,0.4063271604938271
ボーイング製軍用機	12.676576,0.4033721842522338
台湾	12.063556,0.40263310185185186
馬術	13.866194,0.4109005487042871
道教の神	12.676576,0.40882400612381464
建築	52.71653,0.49479166666666663
日本の女性モデル	12.063556,0.4122852969071502
1993年製の鉄道車両	12.295256,0.41276801845056077
犬の品種	12.063556,0.4181087638687808
1991年のテレビドラマ	15.671657,0.42719803770127607
1990年のテレビドラマ	15.671657,0.42719803770127607
1992年のテレビドラマ	15.671657,0.42719803770127607
日本建築学会賞	13.58401,0.42453388645366663
飛べる未確認動物	12.063556,0.4270445881082342
オフィスキイワード	17.247227,0.4379405820189456
日本の劇場	13.58401,0.4329561740568257
ボヘミア・ガラス	12.775772,0.4313900562843336
靴下	12.063556,0.4308880941056616
人型未確認動物	12.063556,0.43438324986187304
運動器	29.494549999999997,0.4709362751971879
日本の漢字	13.14706,0.438377655994457
アナウンサー	41.374339,0.5002592592592594
生物学	36.654068,0.49479166666666663
イタリアの航空会社	12.063556,0.45158933007306434
北海道出身の人物	18.868925,0.4685912348861558
鳥類	24.740132000000003,0.491455078125
春畑道哉が制作した楽曲	13.90076,0.468164029264725
ワイン	12.775772,0.4664086684724365
日本のトロリーバス	12.295256,0.4663923675625858
日本の歌手グループ	28.7424,0.5034656844302509
コンピュータゲーム	14.551003,0.4833869047619048
俳優	13.179681,0.49
テレビ番組	15.671657,0.4965613425925926
医学	14.158085,0.49479166666666663
足	36.957820999999996,0.5469371704008535
シングル	13.90076,0.49479166666666663
乗馬・馬術	13.866194,0.49479166666666663
魚類	12.676576,0.49625413015546127
音楽	14.065638,0.500625
バス	12.295256,0.4966666666666667
鉄道	12.295256,0.49694444444444447
性風俗	12.443062,0.5
文字	12.990873,0.5014238952959656
漫画	14.37776,0.5053298611111111
アイドル	12.063556,0.5
ファッション	12.063556,0.5003906250000001
スポーツ	12.063556,0.5006553819444444
道路	12.676576,0.5023003472222223
奈良県の学校	13.2634535,0.5069404058825332
北海道の学校	12.895637,0.5064224185730963
超常現象	12.063556,0.5044642857142857
鹿児島県の学校	13.036428,0.5069404058825332
静岡県の学校	13.036428,0.5069404058825332
千葉県の学校	12.676576,0.5069404058825332
石川県の学校	12.063556,0.5069404058825332
高知県	12.063556,0.509713418097876
大映テレビ	15.671657,0.5213871677812073
カサゴ目	12.676576,0.5208908179012347
日本の屋内競技施設	12.063556,0.5199209754372428
前田亘輝が制作した楽曲	13.90076,0.5259154851466051
日本のアイドルグループ	14.065638,0.5277528549382716
アメリカ合衆国の戦闘機	12.676576,0.525980687116239
テレパックのテレビドラマ	15.671657,0.5349576774691359
節足動物の体	12.295256,0.5267579211837707
日本の放送作家	14.845526,0.5359450817329676
アカデミー賞	12.798731,0.532107935675093
日本のコンサートホール	13.58401,0.5366754048336048
中国神話の神	12.676576,0.5351440978851834
デンマーク語	12.798731,0.5507309070979618
長崎県出身の人物	17.247227,0.5628515985472005
テレビドラマのエピソード一覧	15.671657,0.5644955580323121
大正時代の建築	12.063556,0.5600828654855433
高知県出身の人物	12.990873,0.5628515985472005
千葉県出身の人物	13.179681,0.5643952117626887
福島県出身の人物	12.063556,0.5629161093964336
神奈川県出身の人物	12.063556,0.5643952117626886
岐阜県出身の人物	12.063556,0.5643952117626887
熊本市出身の人物	12.676576,0.5695401806127116
昆虫	14.155788,0.5741944444444445
日本のボクシング会場	12.063556,0.5738891960358135
松竹製作のテレビ番組	15.671657,0.5878934065385579
過去のホリエージェンシー所属者	12.063556,0.5834619984567901
日本犬	12.063556,0.588629505621693
日本のバスケットボール競技施設	12.063556,0.5973144113089218
日本のプロレス会場	12.063556,0.5980899597184163
タモリ	15.671657,0.6089025085115353
東京都港区の企業	12.063556,0.6031948431590911
共同テレビのテレビドラマ	15.671657,0.6162650562136867
野球選手	14.845526,0.6179868344907408
ミラノの企業	12.063556,0.6126618994518521
アメリカ合衆国の野球選手	14.845526,0.6274723965249044
フジテレビのテレビドラマ	15.671657,0.6303522276445925
クモ形類	12.063556,0.625
ホリプロ	17.247227,0.6427089269679052
月刊ドラゴンエイジ	14.37776,0.6431805491044281
コーンウォールの伝説の生物	12.063556,0.6398733005519942
カニ	12.063556,0.6406787176354595
メタルギアシリーズ	14.551003,0.6494094587410969
岡崎市の教育	13.765232,0.6540685891795737
日本のバレーボール競技施設	12.063556,0.6518680788413013
アメリカ野球殿堂	14.845526,0.6622880986821974
キリンビールキャンペーンガール	12.063556,0.6580513377636119
東宝製作のテレビ作品	15.671657,0.6714592353252172
日本の電車	12.295256,0.6662709904749061
中京大学出身の人物	18.868925,0.6876058765068921
2004年のシングル	13.90076,0.6860493320430913
阪神間モダニズム	12.063556,0.6814099129908795
アーマード・コア	31.917837,0.7405997389899438
アフリカ系アメリカ人の野球選手	14.845526,0.7370696759681808
東映のテレビドラマ	15.671657,0.7439361080776796
北野町山本通	12.063556,0.7381628571804716
カエデチョウ科	12.676576,0.7415350825263035
関西大学出身の人物	12.063556,0.7401382073273494
早稲田大学出身の人物	12.063556,0.7408766579875004
高知市のスポーツ	12.063556,0.7418244223539122
TUBEの楽曲	13.90076,0.7549688895879076
テレビ朝日の人物	13.2634535,0.7572830039824577
和歌山市の歴史	12.063556,0.7678531812884942
広島県の文化	14.065638,0.7755801158763537
鹿児島県の文化	12.063556,0.7731593813859593
紀伊国の人物	12.063556,0.7770661267823642
奈良市の画像提供依頼	13.2634535,0.7835165154034835
世にも奇妙な物語	15.671657,0.7917540135921195
三谷幸喜脚本のテレビドラマ	15.671657,0.8005856868381669
オスカープロモーション所属者のグループ	14.676762,0.8067950204094267
岡崎市の建築物	13.765232,0.80616125709686
ニグロリーグの野球選手	14.845526,0.813827088628856
サギ科	12.063556,0.8146199049366045
さいたま市の建築物	13.58401,0.8231119617674076
岡崎市の画像提供依頼	13.765232,0.8276047461145881
筑波大学	12.063556,0.8227863941371122
長野県のホール	14.211166,0.8346297193822875
高知市の建築物	12.063556,0.8339742943625208
デフスターレコーズのアーティスト	14.676762,0.844742864589287
高松ファイブアローズ	12.063556,0.8411335887811064
東住吉区の交通	12.676576,0.8432596163349242
嘉義県の行政区分	12.063556,0.8412935382254038
手稲区の教育	12.895637,0.8444601623228166
愛知県のホール	13.765232,0.8569866068593456
埼玉県のホール	13.58401,0.866605800016194
小松左京原作のテレビドラマ	15.671657,0.8746977374590382
高知県のスポーツ施設	12.063556,0.8722825914896618
大阪市の橋	12.676576,0.8793692507113398
稲毛区の教育	12.676576,0.8815364808252467
長野朝日放送のアナウンサー	18.868925,0.9045650715401615
Bjリーグ公式戦開催競技場	12.063556,0.9058279960419525
北海道テレビ放送のアナウンサー	12.063556,0.9074833653406491
石川県の公立小学校	12.063556,0.9086457265232052
海南市の歴史	12.063556,0.912990015217764
関西電力	12.295256,0.9154306712962962
葵区の学校	13.036428,0.9184890469011965
福島放送のアナウンサー	12.063556,0.9180727007887517
金沢市の小学校	12.063556,0.9235452051738811
高知さんさんテレビのアナウンサー	12.063556,0.9262163308041839
千曲市	14.211166,0.952683281893004
札幌市の公立小学校	12.895637,0.9844124371284864
奈良市の公立小学校	13.2634535,0.994129054895087
鹿児島市の公立小学校	13.036428,0.9972798015207707
静岡市の公立小学校	13.036428,0.9972798015207707
千葉市の公立小学校	12.676576,0.9972798015207709
キジ科	12.676576,0.9986496913580246
ナンベイウズラ科	12.676576,1.0
ウマ科	12.063556,1.0
ガ	12.063556,1.0
ウシ科	12.063556,1.0
## IMINE2-J-057	盗聴器 探し方
企業	258.44641299999995,
無線	78.017679,0.04019704208060056
存命人物	41.283913,0.03961226851851852
日本の医療機器メーカー	94.596169,0.16190885726757384
通信	73.62376400000001,0.1468143112715887
犯罪	29.708023,0.09992509041749224
音響機器	71.14811,0.2089090352728404
音	23.490362,0.15013467372341358
通信工学	20.797436,0.15155541289728658
プライバシー	67.548492,0.23740876921329185
サブカルチャー	15.187997,0.15417514702309143
光学機器	23.490362,0.16995271910365226
医療機器	32.374179,0.18486661493702972
医療機器メーカー	61.730211499999996,0.2351093928358669
録音	53.198385,0.2230255158897637
福祉用具	47.218818,0.22324695465860828
レーザー	23.490362,0.18816829728491513
アマチュア無線	18.43877,0.18205105055448687
電力機器	20.797436,0.18656274726633942
携帯機器	32.374179,0.21169051884685083
電力流通	20.797436,0.1932023402808822
探偵	23.490362,0.19881635802469133
雷	20.797436,0.19827947746584562
楽器製作者	21.278837,0.20034492542916027
無線工学	20.797436,0.2017221835415059
各国の農業	15.187997,0.19499078737554976
1986年設立の航空会社	19.68227,0.2033438547858558
調査	23.118305,0.21450852586089747
風俗	15.187997,0.2108423552367525
マフィア	58.055834,0.283760175172976
ラジオ	15.283569,0.2134129542476024
光学	23.490362,0.2288049768518518
テロリズムを題材にした作品	36.650887999999995,0.2590452646483899
音声処理	23.490362,0.23825318800494438
医療資格	16.263111,0.22750429953185725
言論・表現の自由	35.278189,0.26162882118199204
農学	15.187997,0.2302398276500899
農業の歴史	15.187997,0.23747371461527328
名数4	22.866455,0.2512186365741308
諜報工作	29.692064,0.27125284551115936
6月の記念日	16.147434,0.2540609481193963
聴覚障害	64.184781,0.33313574156132986
テレビ局を舞台とした作品	16.968618,0.2558621621132449
1989年没	23.370392,0.26718765962170793
1997年設立の企業	23.490362,0.26754182493200834
社会主義国	19.68227,0.26181897541562615
1993年没	21.278837,0.26718765962170793
1941年生	23.370392,0.2723554276030289
1958年没	19.68227,0.26718765962170793
農業技術	15.187997,0.26044933563404515
スパイ	14.624308,0.2596667628909341
デンマークの企業	47.245155,0.31453071383798664
1985年没	17.716824,0.26718765962170793
1996年の映画	40.587125,0.3055769093606085
半陰陽	15.903201,0.26696786541506157
1977年設立の企業	16.006565,0.26754182493200834
2006年の映画	38.52337,0.3056462220369783
1987年没	16.968618,0.2704472988555703
1994年没	16.968618,0.2704472988555703
暗殺された人物	17.716824,0.2722195072153467
1896年生	21.278837,0.27862043071081505
アメリカ合衆国の実業家	19.68227,0.278092827734794
1915年生	17.716824,0.2753546295019313
1891年生	19.68227,0.27862043071081505
日本の民間資格	16.263111,0.27405320442291564
1914年生	16.968618,0.2753546295019313
1935年生	16.968618,0.2753546295019313
1977年の小説	23.719383,0.28769926039477006
かつて存在した共和国	19.68227,0.2812696408284473
1975年生	15.647154,0.2753546295019313
2013年の小説	22.086803,0.28769926039477006
入力機器	23.490362,0.2900386844190195
1984年の書籍	16.968618,0.28129238994446837
1974年の映画	23.639034,0.2922811004651749
精神疾患を題材にした作品	23.719383,0.2930974166199421
ルーマニアの歴史	19.68227,0.2868884192287933
学園漫画	33.665848999999994,0.31030322328824445
2011年の小説	19.68227,0.28769926039477006
漫画	120.93100399999999,0.4563998762172425
2003年の小説	16.968618,0.28769926039477006
2005年の小説	16.968618,0.28769926039477006
ロシアの物理学者	21.278837,0.29542500883072553
犯罪・事件	80.100161,0.394088284063143
防諜	14.624308,0.2848651207404348
犯罪を題材とした漫画作品	16.968618,0.28893904226821326
アメリカ合衆国の汚職事件	14.991499,0.28718201134465654
人工臓器	16.102098,0.2905132768889217
1986年の映画	16.968618,0.2922811004651749
1989年の法	24.913374,0.3058561786415693
LGBT作品	16.968618,0.29307729947659433
誘拐を題材とした作品	23.719383,0.30465449245541837
1992年の映画	23.969341,0.3056462220369783
聴覚	31.55565,0.31874590863266955
ミリタリー・インテリジェンス	14.624308,0.29148426722523985
1993年の映画	22.866455,0.3056462220369783
2013年の映画	21.856037,0.3056462220369783
ドイツの歴史を題材とした作品	21.554752,0.30690998858601554
1999年の法	20.653881,0.3058561786415693
日本の計画	22.086803,0.3082789974325638
諜報	17.186588,0.30248451819599587
サンクトペテルブルク出身の人物	21.278837,0.3104854694245369
コンタクトレンズ	14.689096,0.29977091201166384
日本の記念日	16.147434,0.3032045926530078
パチスロ機種	15.903201,0.3030679742671341
1978年の法	17.186588,0.3058561786415693
多国籍企業	14.919034,0.30305463689831114
1998年の映画	16.441236,0.3056462220369783
日本の小説	53.619505999999994,0.36856464774951214
スタジオ関連機材メーカー	15.912442,0.30629010120412875
福祉従事者	16.263111,0.3070662722569841
スイスの精密機器メーカー	15.794952,0.308071650876351
秘密警察	19.395565,0.3154022719188384
フランス系ロシア人	21.278837,0.31885164444229347
ヴィレッジ・ロードショー・ピクチャーズの作品	21.856037,0.32324533449907605
ロシアの発明家	21.278837,0.3222444126909124
オーストリアの企業	16.071709,0.3140873310366664
諜報技術	29.708023,0.3412048662781085
廃止された行政機関	19.395565,0.3244985055777299
アメリカ合衆国の政治スキャンダル	14.991499,0.3178105174672366
シギント	29.692064,0.34733520433024523
日本の公安	24.913374,0.34725723855928975
日本の俳優	32.615772,0.3622685185185185
テレビ番組	101.80948400000001,0.48585928053163147
1997年の映画	15.696789,0.33450280491760265
1945年の映画	15.647154,0.33450280491760265
読書・朗読を題材とした作品	19.68227,0.3426622359864189
1973年設立の企業	15.912442,0.3371396987391761
1966年の日本	22.866455,0.3503532671307013
東欧革命	21.554752,0.35476066342215345
日本のテロリズム	22.086803,0.35946072991614697
1985年の日本	14.624308,0.3503532671307013
アメリカ合衆国の工業製品メーカー	15.616526,0.3533061764564044
ワシントンD.C.の歴史	14.991499,0.3540023034468891
日本の社会主義の文化	15.187997,0.3559891068878325
2014年のテレビドラマ	36.73789,0.3954125550663234
医療機関を舞台としたコンピュータゲーム	15.903201,0.361746476984918
磁気	15.663168,0.3623987268518518
2013年のコンピュータゲーム	19.207615,0.3732038917588405
ソビエト連邦国家賞受賞者	21.278837,0.3777939865552892
アメリカ合衆国の映画プロデューサー	19.68227,0.375228639816085
ハイジャックを題材とした映画作品	15.696789,0.3688130957406195
日本の新左翼の事件	21.854837,0.38169886373333733
アメリカ合衆国のアクション映画	76.860517,0.4797585438772414
映画	80.93099,0.48760156675538746
経営破綻した企業	17.278816,0.37539582858185755
未解決事件	23.722712,0.39195473251028806
日本の女性声優	25.636759,0.3972220089417759
ルーマニア	19.68227,0.4081288307539077
結核に罹患した人物	16.968618,0.41270588127071245
ロシアのミュージシャン	21.278837,0.4291419942001955
日本のコメディアン	16.968618,0.41965651230046785
日本のタレント	15.647154,0.4173160404124117
Jトラストグループ	17.278816,0.4215396743719993
お笑い芸人	16.968618,0.42162534526799944
日本の歴史	15.647154,0.4339236111111111
ウォーターゲート事件	34.673769,0.478545466283464
コンピュータゲーム	36.176232999999996,0.4833869047619048
ルーマニア社会主義共和国	39.077835,0.49177596109763305
医療機関を舞台とした小説	23.719383,0.45761183104873365
日本の農学史	15.187997,0.4408051752810552
東欧ユダヤ系アメリカ人	19.68227,0.45166581893171026
ドイツの映画作品	21.554752,0.4590508016460309
冷戦	19.68227,0.4551657925036816
ローカル局の番組の企画	21.554752,0.4613473180760478
入学試験	16.968618,0.4509310301759451
継続中の作品	37.391716,0.5010416666666666
日本の電気機器メーカー	16.072258,0.45382973488264144
1986年の日本の事件	24.913374,0.47412875036339874
1994年のテレビドラマ	25.01651,0.47724466646691854
孤島を舞台とした小説	22.086803,0.4708579404459114
ドイツ民主共和国	21.554752,0.47066544333994864
犯罪を題材とした小説	16.968618,0.4603522044026729
パナソニックグループ	15.92819,0.4591375096450617
アメリカ合衆国の電気機器メーカー	15.616526,0.4587919627332229
昭和時代戦後の事件	24.913374,0.48128012183487373
軍事	29.692064,0.4926649305555556
航空会社	19.68227,0.4705729166666666
声優	25.636759,0.48437499999999994
日本の子役	15.647154,0.46611236531226996
日本の警察不祥事	24.913374,0.4899268717365461
複数誌並行連載の漫画作品	16.697231,0.47232922132201643
モスクワ音楽院の教員	21.278837,0.48401483787997773
ニューヨーク市出身の人物	37.399094,0.5216715401071735
中華人民共和国の教育	16.968618,0.4750726533443301
2013年のテレビドラマ	16.968618,0.47724466646691854
美少女ゲーム	15.903201,0.4768932881257213
歴史映画	21.554752,0.4898668006685809
イタリア系アメリカ人	23.370392,0.4973263768325616
リチャード・ニクソン	14.991499,0.4786672311253095
豊台区	19.68227,0.48966088677411973
日本の眼鏡店	29.865268,0.5145564434725456
ジュノンボーイ	15.647154,0.4820630433384773
朝鮮民主主義人民共和国	16.968618,0.4851469944981462
ローカルタレント	15.647154,0.48235829723133145
ノベルゲーム	16.968618,0.4868097729991345
北海道出身の人物	16.968618,0.4871695126192985
ドイツ系ロシア人	21.278837,0.4971049284479309
法	20.653881,0.497019675925926
工学	20.797436,0.5
アダルトゲーム	15.903201,0.4896164021164021
歴史	19.68227,0.5
オウム真理教	22.086803,0.5064623040300977
2000年の日本の事件	26.669426,0.5185188248255108
文学	16.968618,0.49813464506172833
AV機器	15.912442,0.4966820987654322
中華人民共和国の航空会社	19.68227,0.5081694872105025
未制定の日本の法案	14.624308,0.4967513792343432
医学	16.102098,0.5001929012345678
教育	16.968618,0.5031912771468299
アメリカ合衆国の犯罪映画	37.552826,0.5537578927990088
パラマウント映画の作品	23.639034,0.5209563433182048
ラジオドラマ	15.187997,0.5043097066558452
社会派映画	21.554752,0.5201081391268234
自由民主党の派閥	22.866455,0.5241988648953092
ローマの企業	16.149101,0.5092641226921311
宇宙戦艦ヤマトシリーズの登場人物	15.187997,0.5074145524674372
アドベンチャーゲーム	16.968618,0.5133580070328725
かつてバルカンに存在した国家	19.68227,0.522398166868201
1996年の日本の事件	23.722712,0.534670616892492
アメリカ合衆国のサスペンス映画	64.049611,0.6382631952348035
4コマ漫画	16.697231,0.573042824074074
福祉	15.283569,0.5740891668095565
紀行	16.968618,0.5797297988838775
パルム・ドール受賞作	23.639034,0.6032527839733904
推理漫画	16.968618,0.5861303090849974
1997年の日本の事件	21.854837,0.600666401594918
農業	15.187997,0.5846970378943758
フィルム・ノワール	15.647154,0.5862666005418584
松本零士の作品のキャラクター	15.187997,0.5857330894740226
冷戦の映画	21.554752,0.6034292570516548
ギャグ漫画	16.968618,0.5908374228454865
1985年の日本の事件	24.913374,0.6130053389435444
ベルリンを舞台とした映画作品	21.554752,0.6086510338635437
テレパックのテレビドラマ	16.968618,0.5968430212620028
名古屋市出身の人物	15.647154,0.5942566229423869
タッチストーン・ピクチャーズの作品	38.563244,0.6578476422646605
東京を舞台とした小説	23.719383,0.6179229855216906
アメリカン・ゾエトロープの作品	23.639034,0.6183847182034464
アカデミー賞外国語映画賞受賞作	21.554752,0.6126834571116255
日本の判例	24.913374,0.6228792985383267
東京都中央区の企業	33.285381,0.6459577058015046
携帯電話アプリゲーム	32.871819,0.64578223744981
恋愛ドラマ	16.968618,0.6025460476680385
アダルトゲーム声優	25.636759,0.6270377236440394
アメリカ合衆国のドラマ映画	16.968618,0.6046251020635074
シチリア系アメリカ人	34.685441999999995,0.6557818916645234
日本共産党の事件	24.913374,0.6291093679745846
北京の企業	19.68227,0.6151724452594907
20世紀フォックスの作品	32.615772,0.6513018485073373
革マル派	21.854837,0.6221649564617745
アメリカ合衆国のコメディ映画	22.866455,0.6254747502448104
アメリカ合衆国のテレビ映画	23.969341,0.6294154952515932
日本の犯罪映画	16.968618,0.6117964288824053
ルーマニアの諜報・情報機関	19.395565,0.6204959401322979
タンパ出身の人物	16.968618,0.6138804976851852
中華人民共和国の企業	15.616526,0.6142616480028024
SF漫画の登場人物	15.187997,0.6158642780180112
日本のコメディ映画	16.968618,0.6239246982820402
ワーナー・ブラザーズの作品	21.856037,0.6381859833843718
コメディ小説	16.968618,0.6254784426902009
月刊少年チャンピオン	17.716824,0.6290355818383488
藩	15.647154,0.6236049263492369
文学を原作とするテレビドラマ	19.68227,0.6348861415533372
SFコンピュータゲーム	16.968618,0.6276452043470906
渋谷区の企業	23.490362,0.6459577058015046
風刺小説	23.719383,0.6523069554530193
航空機を舞台とした映画	15.696789,0.6313361156657236
自由民主党	22.866455,0.6543495885369036
沖縄県を舞台とした作品	22.086803,0.6537054830166539
文学を原作とする漫画作品	16.968618,0.6401737557870371
2000年のOVA	15.903201,0.6375362216051169
アメリカ合衆国の刑事映画	22.866455,0.6591430246908798
テレビの冠番組	21.554752,0.6555814533596199
BE・LOVE	16.968618,0.6453247853973766
日本の音響機器メーカー	15.912442,0.6442647258361436
文京区の企業	16.295074,0.6459577058015046
日本の法律	20.653881,0.6592042037538991
まんがタイム	16.697231,0.6504493879404578
杉並区の企業	15.061191,0.6459577058015046
ファンタジーコンピュータゲーム	16.968618,0.6517723431730188
アメリカ合衆国上院	19.68227,0.660301620456487
日本共産党	22.866455,0.6722350726853437
アメリカ合衆国のサイコスリラー映画	23.639034,0.6797788710675324
Windows用ゲームソフト	36.176232999999996,0.7180338427801355
チューリッヒの企業	14.9885845,0.6629766626158897
日本のアダルトビデオ作品	15.903201,0.6687383455645871
トム・クランシー	19.207615,0.6796895782693451
警視庁を舞台としたテレビドラマ	17.05562,0.6739966933626778
アメリカ合衆国のスリラー映画	15.696789,0.6702367950759068
架空のネコ	15.187997,0.6703276032041451
フランシス・フォード・コッポラの監督映画	23.639034,0.6972062848293895
ジョン・バダムの監督映画	22.866455,0.6972062848293895
別冊マーガレット	15.187997,0.674879716926369
アメリカ合衆国のスパイ映画	15.647154,0.6785191396872856
1999年のアダルトゲーム	15.903201,0.6793651019816433
週刊ヤングマガジンの漫画作品	20.521038,0.6941334453455432
耳	16.069944,0.6838835065442208
アミューズ	15.647154,0.6831394780488516
前田哲の監督映画	16.968618,0.6895728556408132
ミネソタ州の企業	31.065255,0.7316254340277779
トニー・スコットの監督映画	16.441236,0.6924296769507136
アダルトゲームのシリーズ	15.903201,0.6925294305752029
サイモン・ウェストの監督映画	15.696789,0.6924296769507136
村川透の監督映画	15.187997,0.6919870816454476
シドニー・ルメットの監督映画	16.968618,0.6988754403573495
ステルスゲーム	19.207615,0.7057757929790839
サスペンスドラマ	16.968618,0.6997605863908348
日本のサスペンス映画	25.399128,0.7257368774414064
NBCユニバーサル・ジャパンの映像作品	16.968618,0.7024639164175026
ヘンリー・ハサウェイの監督映画	15.647154,0.6988754403573495
野沢尚	16.968618,0.7031452797469779
成人向けOVA	15.903201,0.7064446723090277
新宿区の企業	14.689096,0.7046499807098765
松竹配給の映画	16.968618,0.7147190875771605
宇宙海賊キャプテンハーロック	15.187997,0.7119288840005146
DVDPG	15.903201,0.7145786278694058
伊坂幸太郎	16.968618,0.7189991841885288
バンクーバーで製作された映画作品	22.866455,0.739432618694541
神戸市の歴史	21.854837,0.7472874109506279
かつて存在した東京都の企業	14.689096,0.7317066190691469
東京都発祥の企業	15.912442,0.7356474121788352
江戸幕府の職制	15.647154,0.7355316144068738
ワシントンD.C.を舞台とした映画作品	16.441236,0.7380708616189817
工画堂スタジオ	16.968618,0.7500055047924643
日本テレビの番組の企画	18.500332,0.7561024103468548
サンフランシスコを舞台とした映画作品	23.639034,0.7751363821549515
サイコスリラー	16.870678,0.7730994679251514
ユービーアイソフト	19.207615,0.7801395665437814
相棒シリーズの小説	22.086803,0.7924113078868115
ロサンゼルスを舞台とした映画作品	21.856037,0.7927187860415712
国分寺市の企業	16.072258,0.7769484037914023
日本の刑事手続法	20.653881,0.7910921595445044
立川市の企業	15.154915,0.7769484037914023
青梅市の企業	15.154915,0.7769484037914023
アメリカ合衆国の連邦法律	17.186588,0.786082351189909
読売テレビ木曜9時枠の連続ドラマ	25.01651,0.8125420292213136
テクノスリラー映画	16.441236,0.8005094427886663
日本の推理小説のシリーズ	15.187997,0.7994180079702741
フロリダ州の企業	15.616526,0.802118075649434
江戸幕府老中	15.647154,0.806343704453875
東証一部上場企業	16.072258,0.8078773784454303
横浜市を舞台とした映画作品	15.187997,0.8116219774837422
ラスベガスを舞台とした映画作品	15.696789,0.8142706634135422
